,AidData TUFF Project ID,city_temp_id,region_temp_id,country_id
1893,30070.0,12,,099
1894,35697.0,13,,099
1895,32011.0,53,,100
1896,54733.0,29,,039
1897,58874.0,39,,072
1898,72687.0,40,,072
1899,63578.0,45,,240
1900,63941.0,46,,240
1901,63943.0,47,,240
1902,63951.0,48,,240
1903,67768.0,49,,240
1904,454.0,119,,101
1905,36333.0,120,,101
1906,58848.0,121,,101
1907,58919.0,122,,101
1908,59984.0,123,,101
1909,60047.0,124,,101
1910,39832.0,18,,042
1911,40155.0,1,,042
1912,55342.0,19,,042
1913,38935.0,97,,018
1914,39085.0,98,,018
1915,35431.0,25,,130
1916,73371.0,25,,141
1917,34447.0,99,,142
1918,59016.0,100,,142
1919,69129.0,101,,142
1920,40003.0,29,,026
1921,49134.0,30,,026
1922,62719.0,31,,026
1923,62721.0,32,,026
1924,66699.0,33,,026
1925,684.0,33,,102
1926,60753.0,34,,102
1927,67712.0,46,,186
1928,35242.0,48,,074
1929,61058.0,13,,045
1930,38300.0,36,,047
1931,38375.0,37,,047
1932,71135.0,38,,047
1933,85825.0,39,,047
1934,53777.0,438,,194
1935,53778.0,439,,194
1936,54026.0,346,,194
1937,54343.0,440,,194
1938,54344.0,441,,194
1939,54362.0,442,,194
1940,67365.0,247,,195
1941,68566.0,248,,195
1942,38304.0,35,,050
1943,39758.0,36,,050
1944,57145.0,37,,050
1945,64767.0,28,,146
1946,40265.0,147,,211
1947,40267.0,148,,211
1948,1265.0,103,,103
1949,1277.0,104,,103
1950,31023.0,105,,103
1951,60169.0,106,,103
1952,60195.0,107,,103
1953,33809.0,59,,227
1954,35713.0,60,,227
1955,35759.0,61,,227
1956,43956.0,62,,227
1957,55671.0,5,,104
1958,1722.0,44,,078
1959,1724.0,45,,078
1960,1726.0,46,,078
1961,1731.0,47,,078
1962,19632.0,48,,078
1963,35500.0,40,,119
1964,72749.0,41,,119
1965,72851.0,42,,119
1966,25657.0,58,,105
1967,34996.0,34,,197
1968,1544.0,46,,079
1969,32649.0,32,,080
1970,63902.0,15,,244
1971,47010.0,23,,239
1972,66257.0,46,,239
1973,68942.0,47,,239
1974,85843.0,48,,239
1975,1230.0,56,,107
1976,72890.0,20,,107
1977,46986.0,52,,229
1978,63821.0,53,,229
1979,63842.0,54,,229
1980,64646.0,55,,229
1981,64763.0,56,,229
1982,35692.0,42,,108
1983,38399.0,66,,198
1984,38752.0,67,,198
1985,38753.0,68,,198
1986,35694.0,82,,134
1987,195.0,82,,135
1988,39307.0,3,,005
1989,66247.0,19,,199
1990,85255.0,20,,199
1991,36237.0,177,,200
1992,37016.0,178,,200
1993,70728.0,179,,200
1994,70730.0,180,,200
1995,70753.0,181,,200
1996,63847.0,49,,222
1997,73611.0,50,,222
1998,36064.0,126,,019
1999,39089.0,127,,019
2000,56425.0,128,,019
2001,69055.0,129,,019
2002,69318.0,130,,019
2003,38255.0,1539,,237
2004,63960.0,1540,,237
2005,66412.0,376,,190
2006,43026.0,1503,,247
2007,44225.0,1504,,247
2008,44226.0,1505,,247
2009,44227.0,1506,,247
2010,44228.0,1507,,247
2011,44229.0,1508,,247
2012,66385.0,1509,,247
2013,67153.0,1510,,247
2014,49231.0,31,,007
2015,61682.0,32,,007
2016,53281.0,28,,083
2017,66981.0,222,,175
2018,32642.0,9,,124
2019,73583.0,10,,124
2020,46971.0,64,,204
2021,53805.0,65,,204
2022,71641.0,66,,204
2023,71642.0,67,,204
2024,71643.0,68,,204
2025,71644.0,69,,204
2026,71646.0,70,,204
2027,85184.0,71,,204
2028,1052.0,49,,150
2029,53415.0,50,,150
2030,55696.0,51,,150
2031,71824.0,52,,150
2032,40051.0,48,,205
2033,38011.0,22,,217
2034,37721.0,8,,009
2035,39199.0,9,,009
2036,39808.0,28,,066
2037,19565.0,98,,137
2038,67339.0,207,,152
2039,67345.0,208,,152
2040,68916.0,64,,023
2041,53668.0,83,,213
2042,42011.0,4,,225
2043,37833.0,109,,069
2044,58724.0,110,,069
2045,58801.0,111,,069
2046,58804.0,112,,069
2047,69375.0,113,,069
2048,35236.0,108,,232
2049,65949.0,109,,232
2050,65950.0,110,,232
2051,65190.0,46,,208
2052,65191.0,47,,208
2053,65192.0,48,,208
2054,2339.0,48,,114
2055,85186.0,49,,114
2056,85349.0,50,,114
