id,country,confucius_institute,partner_uni,status,location_alt
193,Italy,Confucius Institute at University of Macerata,,Closed,
194,Italy,Confucius Institute at University of Turin,,Closed,
195,Italy,Confucius Institute at the University of Bologna,,Open,
196,Italy,Confucius Institute at the University of Florence,,Open,
197,Italy,Confucius Institute at the University of Milan,,Closed,
198,Italy,Confucius Institute at the University of Padova,,Open,
199,Italy,Confucius Institute in Pisa,,Open,
200,Ivory Coast,Confucius Institute at University of Felix Houphouette Boigny,,Closed,
201,Jamaica,"Confucius Institute at the University of the West Indies, Mona Campus",,Closed,
202,Japan,Chinese Medicine Confucius Institute at Hyogo College of Medicine,,Open,
203,Japan,Confucius Institute at Aichi University,,Open,
204,Japan,Confucius Institute at Fukuyama University,,Closed,
205,Japan,Confucius Institute at Hokuriku University,,Open,
206,Japan,Confucius Institute at J. F. Oberlin University in Machida Tokyo,,Open,
207,Japan,Confucius Institute at Kansai Gaidai University,,Open,
208,Japan,Confucius Institute at Kogakuin University,,Closed,
209,Japan,Confucius Institute at Musashino University,,Open,
210,Japan,Confucius Institute at Okayama Shoka University,,Open,Okayama University
211,Japan,Confucius Institute at Osaka Sangyo University,,Open,
212,Japan,Confucius Institute at Ritsumeikan,,Open,
213,Japan,Confucius Institute at Ritsumeikan Asia Pacific University,,Open,Ritsumeikan
214,Japan,Confucius Institute at Sapporo University,,Open,
215,Japan,Confucius Institute at Waseda University,,Closed,
216,Japan,Confucius Institute at Yamanashi Gakuin University,,Closed,Yamanashi University
217,Jordan,Amman TAG-Confucius Institute,,Closed,
218,Jordan,Confucius Institute at Philadelphia University,,Closed,
219,Kazakhstan,Confucius Institute at K. Zhubanov Aktobe Regional State University,,Closed,
220,Kazakhstan,Confucius Institute at Karaganda State Technical University,,Closed,
221,Kazakhstan,Confucius Institute at Kazakh Ablai Khan University of International Relations and World Languages,,Closed,
222,Kazakhstan,Confucius Institute at Kazakh National University,,Closed,
223,Kazakhstan,Confucius Institute at L. N. Gumilyov Eurasian National University,,Closed,
224,Kenya,Confucius Institute at Egerton University,,Closed,
225,Kenya,Confucius Institute at Kenyatta University,,Closed,
226,Kenya,Confucius Institute at Moi University,,Closed,
227,Kenya,Confucius Institute at the University of Nairobi,,Closed,
228,Kyrgyzstan,Confucius Institute at Bishkek State University,,Closed,
229,Kyrgyzstan,Confucius Institute at Jalal-Abad State University,,Open,Jalal-Abad University
230,Kyrgyzstan,Confucius Institute at Kyrgyz National University,,Closed,
231,Kyrgyzstan,Kyrgyz-Chinese Faculty at Osh State University,,Closed,
232,Laos,Confucius Institute at National University of Laos,,Closed,
233,Laos,Confucius Institute at Souphanouvong University,,Closed,
234,Latvia,Confucius Institute at University of Latvia,,Closed,
235,Lebanon,Confucius Institute at Saint-Joseph University,,Closed,
236,Liberia,Confucius Institute at the University of Liberia,,Closed,
237,Lithuania,Confucius Institute at Vilnius University,,Closed,
238,Luxembourg,Confucius Institute at the University of Luxembourg,,Open,
239,Macau,Confucius Institute at University of Macau,,Closed,
240,Macedonia,Confucius Institute at SS Cyril and Methodius University,,Closed,
241,Madagascar,Confucius Institute at Antananarivo University,,Closed,
242,Madagascar,Confucius Institute at Toamasina University,,Closed,
243,Malawi,Confucius Institute at University of Malawi,,Closed,
244,Malaysia,Confucius Institute at SEGI University,,Closed,
245,Malaysia,Confucius Institute at Universiti Malaysia Pahang,,Closed,
246,Malaysia,Confucius Institute at Universiti Malaysia Sabah,,Closed,
247,Malaysia,Confucius Institute at University College of Technology Sarawak,,Closed,
248,Malaysia,Kong Zi Institute for the Teaching of Chinese Language at University of Malaya,,Closed,
249,Maldives,Chinese Language Center at Villa College,,Closed,
250,Mali,Confucius Institute at University of Letters and Human Science of Bamako,,Closed,
251,Malta,Confucius Institute at the University of Malta,,Closed,
252,Mauritania,Confucius Institute at Nouakchott University,,Closed,
253,Mauritius,Confucius Institute at University of Mauritius,,Closed,
254,Mexico,Confucius Institute at Autonomous University of Chihuahua,,Closed,
255,Mexico,Confucius Institute at Autonomous University of New Leon,,Closed,
256,Mexico,Confucius Institute at Autonomous University of Yucatan,,Closed,
257,Mexico,Confucius Institute at National Autonomous University of Mexico,,Closed,
258,Mexico,Confucius Institute in Mexico City Huaxia,,Closed,
259,Moldova,Confucius Institute at Free International University of Moldova,,Closed,
260,Mongolia,Confucius Institute at Dornod University,,Closed,
261,Mongolia,Confucius Institute at Khovd university,,Closed,
262,Mongolia,Confucius Institute at Mongolian State University of Education,,Open,
263,Mongolia,Confucius Institute at National University of Mongolia,,Open,
264,Morocco,Confucius Institute at Abdelmalek Essaadi University,,Closed,
265,Morocco,Confucius Institute at Hassan II University,,Closed,
266,Morocco,Confucius Institute at Mohammed V University,,Closed,
267,Mozambique,Confucius Institute at Eduardo Mondlane University,,Closed,
268,Namibia,Confucius Institute at the University of Namibia,,Closed,
269,Nepal,Confucius Institute at Kathmandu University,,Closed,
270,Nepal,Confucius Institute at Tribhuvan University,,Closed,
271,Netherlands,Confucius Institute at ZUYD University of Applied Sciences,,Closed,
272,Netherlands,Groningen Confucius Institute,,Open,
273,New Zealand,Confucius Institute at University of Canterbury,,Closed,
274,New Zealand,Confucius Institute at Victoria University of Wellington,,Open,
275,New Zealand,Confucius Institute in Auckland,,Closed,
276,Nigeria,Confucius Institute at Nnamdi Azikiwe University,,Closed,
277,Nigeria,Confucius Institute at the University of Lagos,,Closed,
278,Norway,Confucius Institute in Bergen,,Closed,
279,Pakistan,"Confucius Institute at University of Agriculture, Faisalabad",,Closed,
280,Pakistan,Confucius Institute at University of Karachi,,Closed,
281,Pakistan,Confucius Institute at University of Sargodha,,Closed,
282,Pakistan,Confucius Institute at University of the Punjab,,Open,
283,Pakistan,Confucius Institute in Islamabad,,Closed,
284,Palestinian Territory,Confucius Institute at Al-Quds University,,Open,
285,Panama,Confucius Institute at University of Panama,,Closed,
286,Papua New Guinea,Confucius Institute at Papua New Guinea University of Technology,,Closed,Papua New Guinea University
287,Peru,Confucius Institute at Catholic University of Peru,,Open,
288,Peru,Confucius Institute at Catholic University of Santa Maria,,Closed,
289,Peru,Confucius Institute at Ricardo Palma University,,Closed,
290,Peru,Confucius Institute at University of Piura,,Open,Universidad de Piura
291,Philippines,Confucius Institute at Angeles University Foundation,,Open,
292,Philippines,Confucius Institute at Ateneo De Davao University,,Closed,
293,Philippines,Confucius Institute at Ateneo de Manila University,,Closed,
294,Philippines,Confucius Institute at Bulacan State University,,Closed,
295,Philippines,Confucius Institute at University of the Philippines,,Closed,
296,Poland,Confucius Institute at Adam Mickiewicz University,,Open,
297,Poland,Confucius Institute at University of Gdansk,,Closed,
298,Poland,Confucius Institute at Warsaw University of Technology,,Open,
299,Poland,Confucius Institute at the University of Wroclaw,,Closed,
300,Poland,Confucius Institute in Krakow,,Open,
301,Poland,Confucius Institute in Opole,,Closed,
302,Portugal,Confucius Institute at University of Aveiro,,Open,
303,Portugal,Confucius Institute at University of Coimbra,,Closed,
304,Portugal,Confucius Institute at University of Porto,,Closed,
305,Portugal,Confucius Institute at the University of Lisbon,,Closed,
306,Portugal,Confucius Institute at the University of Minho,,Open,
307,Romania,Confucius Institute at Babeay Bolyai University of Cluj-Napoca,,Closed,University of Cluj-Napoca
308,Romania,Confucius Institute at Lucian Blaga University of Sibiu,,Closed,Lucian Blaga University Rectorate
309,Romania,Confucius Institute at Transilvania University of Brasov,,Closed,
310,Romania,Confucius Institute at the University of Bucharest,,Closed,
311,Russia,Confucius Institute at Amur State University of Humanities and Pedagogy,,Closed,
312,Russia,Confucius Institute at Blagoveshchensk National Pedagogical University,,Closed,
313,Russia,Confucius Institute at Buryat State University,,Closed,
314,Russia,Confucius Institute at Far Eastern National University,,Closed,
315,Russia,Confucius Institute at Irkutsk State University,,Closed,
316,Russia,Confucius Institute at Kazan Federal State University,,Closed,
317,Russia,Confucius Institute at Krasnoyark State Pdeagogical University of V.P. Astafyev,,Closed,
318,Russia,Confucius Institute at Lomonosov Moscow State University,,Closed,
319,Russia,Confucius Institute at Moscow State Linguistic University,,Closed,
320,Russia,Confucius Institute at Nizhny Novgorod State Linguistic University,,Closed,
321,Russia,Confucius Institute at Novosibirsk State University,,Closed,
322,Russia,Confucius Institute at Novosibirsk State University of Technology,,Closed,
323,Russia,Confucius Institute at Russian State University for the Humanities,,Open,
324,Russia,Confucius Institute at Ryazan State University,,Closed,
325,Russia,Confucius Institute at Saint-Petersburg State University,,Closed,
326,Russia,Confucius Institute at The Kalmyk State University,,Open,
327,Russia,Confucius Institute at Tomsk State University,,Closed,
328,Russia,Confucius Institute at Ural Federal University,,Open,
329,Russia,Confucius Institute at Volgograd State Pedagogical University,,Open,
330,Rwanda,Confucius Institute at University of Rwanda-College of Education,,Closed,
331,Samoa,Confucius Institute at National University of Samoa,,Closed,
332,San Marino,Confucius Institute at University of the Republic of San Marino,,Closed,
333,Sao Tome and Principe,Confucius Institute at Sao Tome and Principe University,,Closed,
334,Saudi Arabia,Confucius Institute at University of Jeddah,,Closed,
335,Senegal,Confucius Institute at University of Dakar,,Open,
336,Serbia,Confucius Institute at University of Novi Sad,,Closed,
337,Serbia,Confucius Institute in Belgrade,,Open,
338,Seychelles,Confucius Institute at University of Seychelles,,Closed,
339,Sierra Leone,Cofucius Institute at University of Sierra Leone,,Closed,
340,Singapore,Confucius Institute at the Nanyang Technological University,,Closed,
341,Slovakia,Confucius Institute at Comenius University,,Open,
342,Slovakia,Confucius Institute for Business at Matej Bel University,,Closed,
343,Slovakia,Confucius Institute in Bratislava,,Closed,
344,Slovenia,Confucius Institute at the University of Ljubljana,,Closed,
345,South Africa,Confucius Institute at Durban University of Technology,,Closed,
346,South Africa,Confucius Institute at Rhodes University,,Closed,
347,South Africa,Confucius Institute at Stellenbosch University,,Closed,
348,South Africa,Confucius Institute at the University of Cape Town,,Closed,
349,South Africa,Confucius Institute at the University of Johannesburg,,Closed,
350,South Africa,Confucius Institute of Traditional Chinese Medicine at the University of Western Cape,,Closed,
351,South Korea,Confucius Institute at Andong National university,,Closed,
352,South Korea,Confucius Institute at Cheju Halla College,,Closed,
353,South Korea,Confucius Institute at Chungbuk National University,,Open,
354,South Korea,Confucius Institute at Chungnam National University,,Closed,
355,South Korea,Confucius Institute at Daejin University,,Closed,
356,South Korea,Confucius Institute at Dong-A University,,Open,
357,South Korea,Confucius Institute at Dongseo University,,Closed,
358,South Korea,Confucius Institute at Hankuk University of Foreign Studies,,Open,
359,South Korea,Confucius Institute at Hanyang University,,Closed,
360,South Korea,Confucius Institute at Honam University,,Closed,
361,South Korea,Confucius Institute at Jeju National University,,Closed,
362,South Korea,Confucius Institute at Kangwon National University,,Closed,
363,South Korea,Confucius Institute at Keimyung University,,Open,
364,South Korea,Confucius Institute at Kyung Hee University,,Closed,
365,South Korea,Confucius Institute at Sehan University,,Closed,
366,South Korea,Confucius Institute at Semyung University,,Open,
367,South Korea,Confucius Institute at Soon Chun Hyang University,,Closed,
368,South Korea,Confucius Institute at Wonkwang University,,Closed,
369,South Korea,Confucius Institute at Woosong University,,Closed,
370,South Korea,Confucius Institute at Woosuk University,,Closed,
371,South Korea,Confucius Institute at Yonsei University,,Open,
372,South Korea,Confucius Institute at the University of Incheon,,Open,
373,South Korea,Confucius Institute in Seoul,,Open,
374,Spain,Confucius Institute at The University of Las Palmas of Gran Canaria,,Closed,Universidad de Las Palmas de Gran Canaria
375,Spain,Confucius Institute at University of Castilla-la Mancha,,Closed,
376,Spain,Confucius Institute at University of Zaragoza,,Closed,
377,Spain,Confucius Institute at the University of Granada,,Open,
378,Spain,Confucius Institute at the University of Leon,,Open,
379,Spain,Confucius Institute at the University of Valencia,,Open,
380,Spain,Confucius Institute in Barcelona,,Closed,
381,Spain,Confucius Institute in Madrid,,Closed,
382,Sri Lanka,Confucius Institute at Colombo University,,Closed,
383,Sri Lanka,Confucius Institute at the University of Kelaniya,,Closed,
