index,Country,Confucius Institute,Location,Status
374,South Africa,Confucius Institute of Traditional Chinese Medicine at the University of Western Cape,the university of western cape,Closed
375,Spain,Confucius Institute in Madrid,"Madrid, Spain",Closed
376,Spain,Confucius Institute at the University of Leon,the university of leon,Open
377,Spain,Confucius Institute at the University of Granada,the university of granada,Open
378,Spain,Confucius Institute at the University of Valencia,the university of valencia,Open
379,Spain,Confucius Institute at The University of Las Palmas of Gran Canaria,the university of las palmas of gran canaria,Closed
380,Spain,Confucius Institute in Barcelona,"Barcelona, Spain",Closed
381,Spain,Confucius Institute at University of Castilla-la Mancha,university of castilla-la mancha,Closed
382,Spain,Confucius Institute at University of Zaragoza,university of zaragoza,Closed
383,Sri Lanka,Confucius Institute at the University of Kelaniya,the university of kelaniya,Closed
384,Sri Lanka,Confucius Institute at Colombo University,colombo university,Closed
385,Sudan,Confucius Institute at the University of Khartoum,the university of khartoum,Closed
386,Suriname,Confucius Institute at the Anton de Kom University of Suriname,the anton de kom university of suriname,Closed
387,Sweden,Confucius Institute in Lulea,"Lulea, Sweden",Closed
388,Sweden,Borlange-Wuhan Friendship City Confucius Institute,"Borlange, Sweden",Closed
389,Switzerland,Confucius Institute in Geneva,"Geneva, Switzerland",Open
390,Switzerland,Confucius Institute at the University of Basel,the university of basel,Closed
391,Tajikistan,Confucius Institute at Tajik National University,tajik national university,Closed
392,Tajikistan,Confucius Institute at Mining metallurgical Institute of Tajikistan,mining metallurgical institute of tajikistan,Closed
393,Tanzania,Confucius Institute at the University of Dodoma,the university of dodoma,Closed
394,Tanzania,Confucius Institute at the University of Dar es Salaam,the university of dar es salaam,Closed
395,Thailand,Confucius Institute at Chulalongkorn University,chulalongkorn university,Closed
396,Thailand,Confucius Institute at Kasetsart University,kasetsart university,Closed
397,Thailand,Confucius Institute at Khon Kaen University,khon kaen university,Closed
398,Thailand,Confucius Institute at Mae Fah Luang University,mae fah luang university,Closed
399,Thailand,Confucius Institute at Chiang Mai University,chiang mai university,Closed
400,Thailand,Confucius Institute at Prince of Songkla University,prince of songkla university,Open
401,Thailand,Confucius Institute at Mahasarakham University,mahasarakham university,Closed
402,Thailand,Confucius Institute at Bansomdejchaopraya Rajabhat University,bansomdejchaopraya rajabhat university,Closed
403,Thailand,Confucius Institute of Suan Dusit Rajabhat University at Suphanburi,university at suphanburi,Closed
404,Thailand,"Confucius Institute at Phuket, Prince of Songkla University","phuket, prince of songkla university",Closed
405,Thailand,Confucius Institute of Betong Municipality,"Betong, Thailand",Open
406,Thailand,Confucius Institute at Burapha University,burapha university,Closed
407,Thailand,Confucius Institute at Assumption University,assumption university,Open
408,Thailand,Maritime Silk Road Confucius Institute,Thailand,Closed
409,Thailand,Confucius Institute for Traditional Chinese Medicine at Huachiew Chalermprakiet,huachiew chalermprakiet,Closed
410,Thailand,Maritime Silk Road Confucius Institute at Phranakhon Rajabhat University,phranakhon rajabhat university,Closed
411,Togo,Confucius Institute at University of Lome,university of lome,Closed
412,Trinidad and Tobage,"Confucius Institute at the University of the West Indies, St. Augustine Campus","the university of the west indies, st. augustine campus",Open
413,Tunisia,Confucius Institute at University of Carthage,university of carthage,Closed
414,Turkey,Confucius Institute at Bogazici University,bogazici university,Open
415,Turkey,Confucius Institute at Middle East Technical University,middle east technical university,Closed
416,Turkey,Confucius Institute at Okan University,okan university,Closed
417,Turkey,Confucius Institute at Yeditepe University,yeditepe university,Closed
418,Ukraine,Confucius Institute at Luhansk National Pedagogical University,luhansk national pedagogical university,Open
419,Ukraine,Confucius Institute at South Ukranian National Pedagogical University,south ukranian national pedagogical university,Closed
420,Ukraine,Confucius Institute at National Taras Shevchenko University of Kyiv,national taras shevchenko university of kyiv,Closed
421,Ukraine,Confucius Institute at Kharkiv State University,kharkiv state university,Closed
422,Ukraine,Confucius Institute at Kiev State Linguistic University,kiev state linguistic university,Closed
423,Ukraine,Confucius Institute at Vinnytsia National Technical University,vinnytsia national technical university,Closed
424,Uganda,Confucius Institute at Makerere University,makerere university,Closed
425,United Arab Emirates,Confucius Institute at Zayed University,zayed university,Closed
426,United Arab Emirates,Confucius Institute University of Dubai,University of Dubai,Closed
427,United Kingdom,Confucius Institute at University of Liverpool,university of liverpool,Open
428,United Kingdom,Confucius Institute for Scotland in the University of Edinburgh,University of Edinburgh,Closed
429,United Kingdom,Confucius Institute at UCL Institute of Education,ucl institute of education,Closed
430,United Kingdom,Conrfucius Institute at the University of Aberdeen,the university of aberdeen,Open
431,United Kingdom,Confucius Institute at Edge Hill university,edge hill university,Closed
432,United Kingdom,Confucius Institute at De Montfort University,de montfort university,Closed
433,United Kingdom,Business Confucius Institute at the University of Leeds,the university of leeds,Closed
434,United Kingdom,"Confucius Institute for Dance and Performance at Goldsmiths, University of London","goldsmiths, university of london",Closed
435,United Kingdom,Confucius Institute for Business London,"London, United Kingdon",Open
436,United Kingdom,Confucius Institute at Lancaster University,lancaster university,Closed
437,United Kingdom,"Confucius Institute for Traditional Chinese Medicine, London","London, United Kingdon",Closed
438,United Kingdom,Confucius Institute at the University of Manchester,the university of manchester,Open
439,United Kingdom,Confucius Institute at the University of Nottingham,the university of nottingham,Open
440,United Kingdom,Confucius Institute at the University of Sheffield,the university of sheffield,Open
441,United Kingdom,Confucius Institute at Cardiff University,cardiff university,Open
442,United Kingdom,Confucius Institute at the University of Central Lancashire,the university of central lancashire,Closed
443,United Kingdom,Confucius Institute at the University of Wales Trinity Saint David,the university of wales trinity saint david,Closed
444,United Kingdom,Confucius Institute at the University of Glasgow,the university of glasgow,Closed
445,United Kingdom,Confucius Institute at the University of Southampton,the university of southampton,Closed
446,United Kingdom,Confucius Institute at Ulster University,ulster university,Open
447,United Kingdom,Confucius Institute for Scotland's Schools,United Kingdom,Open
448,United Kingdom,Scottish Confucius Institute for Business and Communication at Heriot Watt University,heriot watt university,Closed
449,United Kingdom,Confucius Institute at Newcastle University,newcastle university,Closed
450,United Kingdom,Confucius Institute at Bangor University,bangor university,Open
451,United Kingdom,Confucius Institute at the University of Hull,the university of hull,Closed
452,United Kingdom,Confucius Institute at Queen Mary University of London,queen mary university of london,Closed
453,United Kingdom,Confucius Institute at Coventry University,coventry university,Closed
454,United Kingdom,Confucius Institute at Oxford Brooks University,oxford brooks university,Closed
455,United Kingdom,Confucius Institute of Science and Technology Innovation at the University of Huddersfi,the university of huddersfi,Closed
456,United States,Confucius Institute at the University of Maryland,the university of maryland,Closed
457,United States,Confucius Institute at the College of William & Mary,the college of william & mary,Closed
458,United States,Confucius Institute at China Institute,china institute,Closed
459,United States,Confucius Institute at the University of Kansas,the university of kansas,Closed
460,United States,Confucius Institute at the University of Iowa,the university of iowa,Closed
461,United States,Confucius Institute at Michigan State University,michigan state university,Closed
462,United States,Confucius Institute at the University of Oklahoma,the university of oklahoma,Open
463,United States,Confucius Institute at the University of Missouri,the university of missouri,Closed
464,United States,Confucius Institute at Bryant University,bryant university,Open
465,United States,"Confucius Institute at the University of California, Los Angeles","the university of california, los angeles",Closed
466,United States,"Confucius Institute at University of California, Davis","university of california, davis",Closed
467,United States,Confucius Institute at Portland State University,portland state university,Closed
468,United States,Confucius Institute at Community College of Denver,community college of denver,Closed
469,United States,Confucius Institute at New Mexico State University,new mexico state university,Closed
470,United States,Confucius Institute at the University of Nebraska-Lincoln,the university of nebraska-lincoln,Closed
471,United States,Confucius Institute at the University of Pittsburgh,the university of pittsburgh,Closed
472,United States,Confucius Institute at the University of Memphis,the university of memphis,Closed
473,United States,Confucius Institute at Wayne State University,wayne state university,Closed
474,United States,"Confucius Institute at Rutgers, the State University of New Jersey","rutgers, the state university of new jersey",Closed
475,United States,Confucius Institute at the University of Central Arkansas,the university of central arkansas,Closed
476,United States,Confucius Institute at Valparaiso University,valparaiso university,Closed
477,United States,Confucius Institute at Miami University,miami university,Open
478,United States,Confucius Institute at the University of Wisconsin-Platteville,the university of wisconsin-platteville,Closed
479,United States,Confucius Institute at Troy University,troy university,Closed
480,United States,Confucius Institute at the University of Utah,the university of utah,Open
481,United States,Confucius Institute at the University of Arizona,the university of arizona,Closed
482,United States,Confucius Institute at Xavier University of Louisiana,xavier university of louisiana,Closed
483,United States,Confucius Institute at Houston Independent School District,houston independent school district,Closed
484,United States,Confucius Institute at Broward County Public Schools,broward county public schools,Closed
485,United States,Confucius Institute at East Central Ohio Educational Service Center,east central ohio educational service center,Closed
486,United States,Confucius Institute at Colorado State University,colorado state university,Closed
487,United States,Confucius Institute at Old Dominion University,old dominion university,Closed
488,United States,Confucius Institute at Central Connecticut State University,central connecticut state university,Closed
489,United States,Confucius Institute at Texas Southern University,texas southern university,Open
490,United States,Confucius Institute at Webster University,webster university,Open
491,United States,Confucius Institute in Atlanta,"Atlanta, United States",Closed
492,United States,Confucius Institute at the University of Akron,the university of akron,Open
493,United States,Confucius Institute at the University of Montana,the university of montana,Open
494,United States,Confucius Institute at the University of South Carolina,the university of south carolina,Closed
495,United States,Confucius Institute at Cleveland State University,cleveland state university,Closed
496,United States,Confucius Institute at the University of Toledo,the university of toledo,Open
497,United States,Confucius Institute at Alfred University,alfred university,Closed
498,United States,Confucius Institute at Stony Brook University,stony brook university,Closed
499,United States,Confucius Institute at George Mason University,george mason university,Closed
500,United States,Confucius Institute at Presbyterian College,presbyterian college,Closed
501,United States,Confucius Institute at Western Michigan University,western michigan university,Open
502,United States,Confucius Institute of the State of Washington,"Washington State, United States",Closed
503,United States,Confucius Institute at the George Washington University,the george washington university,Closed
504,United States,Confucius Institute at the University of Idaho,the university of idaho,Closed
505,United States,Confucius Institute at the University of Southern Maine,the university of southern maine,Closed
506,United States,"Confucius Institute at the University at Albany, State University of New York","the university at albany, state university of new york",Closed
507,United States,Confucius Institute at St. Cloud State University,st. cloud state university,Closed
508,United States,Confucius Institute at Middle Tennessee University,middle tennessee university,Open
509,United States,Confucius Institute at Wesleyan College,wesleyan college,Closed
510,United States,"Confucius Institute at State College of Optometry, State University of New York","state college of optometry, state university of new york",Closed
511,United States,Confucius Institute in Chicago,"Chicago, United States",Open
512,United States,Confucius Institute for Business at State University of New York,state university of new york,Closed
513,United States,Confucius Institute at Columbia University,columbia university,Closed
514,United States,Confucius Institute at State University of New York at Buffalo,state university of new york at buffalo,Closed
515,United States,Confucius Institute of Chinese Opera at the State University of New York at Binghamton,the state university of new york at binghamton,Closed
516,United States,Confucius Institute at Stanford University,stanford university,Open
517,United States,Confucius Institute at the University of Kentucky,the university of kentucky,Closed
518,United States,Confucius Institute at the University of Delaware,the university of delaware,Closed
519,United States,Confucius Institute at the University of New Hampshire,the university of new hampshire,Closed
520,United States,Confucius Institute at Georgia State University,georgia state university,Closed
521,United States,Confucius Institute at University of Alaska Anchorage,university of alaska anchorage,Closed
522,United States,Confucius Institute at Northern State University,northern state university,Closed
523,United States,Confucius Institute at Tufts University,tufts university,Closed
524,United States,Confucius Institute at Kansas State University,kansas state university,Open
525,United States,Confucius Institute at Alabama A&M University,alabama a&m university,Closed
526,United States,Confucius Institute at Temple University,temple university,Closed
527,United States,Confucius Institute at West Virginia University,west virginia university,Closed
528,United States,Confucius Institute at Southern Utah University,southern utah university,Closed
529,United States,Confucius Institute at New Jersey City University,new jersey city university,Closed
530,United States,Confucius Institute at Clark County School District,clark county school district,Closed
531,United States,Confucius Institute at Davis School Disrict,davis school disrict,Closed
532,United States,Confucius Institute at Savannah State University,savannah state university,Closed
533,United States,"Confucius Institute at the University of California, Santa Barbara","the university of california, santa barbara",Closed
534,United States,Confucius Institute at Northwest Nazarene University,northwest nazarene university,Closed
535,United States,Confucius Institute at the University of North Carolina at Charlotte,the university of north carolina at charlotte,Closed
536,United States,New York Confucius Institute for Global Finance at Baruch College,baruch college,Closed
537,United States,Confucius Institute at Medga Evers College The City University of New York,medga evers college the city university of new york,Closed
538,United States,Confucius Institute of Western Kentucky,"Kentucky, United States",Closed
539,United States,Confucius Institute in San Diego at San Diego Global Educational Institute,san diego global educational institute,Closed
540,United States,Miami Confucius Institute for Business,"Miami, United States",Closed
541,Uruguay,"Confucius Institute at the Universidad de la Republica, Uruguay","the universidad de la republica, uruguay",Closed
542,Uzbekistan,Confucius Institute in Tashkent State Institute of Oriental Studies,Tashkent State Institute,Closed
543,Uzbekistan,Confucius Institute at Samarkand State Institute of Foreign Languages,samarkand state institute of foreign languages,Open
544,Venezuela,Confucius Institute at Universidad Bolivariana de Venezuela,universidad bolivariana de venezuela,Closed
545,Venezuela,Confucius Institute at the Bolivarian University of Venezuela in Caracas,the bolivarian university of venezuela in caracas,Closed
546,Vietnam,Confucius Institute at Hanoi University,hanoi university,Closed
547,Zambia,Confucius Institute at University of Zambia,university of zambia,Closed
548,Zimbabwe,Confucius Institute at the University of Zimbabwe,the university of zimbabwe,Closed
