index,Country,Confucius Institute,Location,Status
197,Italy,Confucius Institute at Catholic University of the Sacred Heart,catholic university of the sacred heart,Closed
198,Italy,Confucius Institute at University of Macerata,university of macerata,Closed
199,Italy,Confucius Institute at University of Enna Kore,university of enna kore,Closed
200,Ivory Coast,Confucius Institute at University of Felix Houphouette Boigny,university of felix houphouette boigny,Closed
201,Jamaica,"Confucius Institute at the University of the West Indies, Mona Campus","the university of the west indies, mona campus",Closed
202,Japan,Confucius Institute at Ritsumeikan,ritsumeikan,Open
203,Japan,Confucius Institute at J. F. Oberlin University,j. f. oberlin university,Open
204,Japan,Confucius Institute at Hokuriku University,hokuriku university,Open
205,Japan,Confucius Institute at Aichi University,aichi university,Open
206,Japan,Confucius Institute at Sapporo University,sapporo university,Open
207,Japan,Confucius Institute at Ritsumeikan Asia Pacific University,ritsumeikan asia pacific university,Open
208,Japan,Chinese Medicine Confucius Institute at Hyogo College of Medicine,hyogo college of medicine,Open
209,Japan,Confucius Institute at Waseda University,waseda university,Closed
210,Japan,Confucius Institute at Okayama Shoka University,okayama shoka university,Open
211,Japan,Confucius Institute at Osaka Sangyo University,osaka sangyo university,Open
212,Japan,Confucius Institute at Fukuyama University,fukuyama university,Closed
213,Japan,Confucius Institute at Kogakuin University,kogakuin university,Closed
214,Japan,Confucius Institute at Kansai Gaidai University,kansai gaidai university,Open
215,Japan,Confucius Institute at Musashino University,musashino university,Open
216,Japan,Confucius Institute at Yamanashi Gakuin University,yamanashi gakuin university,Closed
217,Jordan,Amman TAG-Confucius Institute,"Amman, Jordan",Closed
218,Jordan,Confucius Institute at Philadelphia University,philadelphia university,Closed
219,Kazakhstan,Confucius Institute at L. N. Gumilyov Eurasian National University,l. n. gumilyov eurasian national university,Closed
220,Kazakhstan,Confucius Institute at Kazakh National University,kazakh national university,Closed
221,Kazakhstan,Confucius Institute at K. Zhubanov Aktobe Regional State University,k. zhubanov aktobe regional state university,Closed
222,Kazakhstan,Confucius Institute at Karaganda State Technical University,karaganda state technical university,Closed
223,Kazakhstan,Confucius Institute at Kazakh Ablai Khan University of International Relations and World Languages,kazakh ablai khan university of international relations and world languages,Closed
224,Kenya,Confucius Institute at the University of Nairobi,the university of nairobi,Closed
225,Kenya,Confucius Institute at Kenyatta University,kenyatta university,Closed
226,Kenya,Confucius Institute at Egerton University,egerton university,Closed
227,Kenya,Confucius Institute at Moi University,moi university,Closed
228,South Korea,Confucius Institute at Woosuk University,woosuk university,Closed
229,South Korea,Confucius Institute at Cheju Halla College,cheju halla college,Closed
230,South Korea,Confucius Institute at the University of Incheon,the university of incheon,Open
231,South Korea,Confucius Institute in Seoul,"Seoul, South Korea",Open
232,South Korea,Confucius Institute at Woosong University,woosong university,Closed
233,South Korea,Confucius Institute at Yonsei University,yonsei university,Open
234,South Korea,Confucius Institute at Chungnam National University,chungnam national university,Closed
235,South Korea,Confucius Institute at Dong-A University,dong-a university,Open
236,South Korea,Confucius Institute at Dongseo University,dongseo university,Closed
237,South Korea,Confucius Institute at Honam University,honam university,Closed
238,South Korea,Confucius Institute at Chungbuk National University,chungbuk national university,Open
239,South Korea,Confucius Institute at Kangwon National University,kangwon national university,Closed
240,South Korea,Confucius Institute at Keimyung University,keimyung university,Open
241,South Korea,Confucius Institute at Sehan University,sehan university,Closed
242,South Korea,Confucius Institute at Andong National university,andong national university,Closed
243,South Korea,Confucius Institute at Soon Chun Hyang University,soon chun hyang university,Closed
244,South Korea,Confucius Institute at Daejin University,daejin university,Closed
245,South Korea,Confucius Institute at Hankuk University of Foreign Studies,hankuk university of foreign studies,Open
246,South Korea,Confucius Institute at Kyung Hee University,kyung hee university,Closed
247,South Korea,Confucius Institute at Wonkwang University,wonkwang university,Closed
248,South Korea,Confucius Institute at Semyung University,semyung university,Open
249,South Korea,Confucius Institute at Hanyang University,hanyang university,Closed
250,South Korea,Confucius Institute at Jeju National University,jeju national university,Closed
251,Kyrgyzstan,Confucius Institute at Bishkek State University,bishkek state university,Closed
252,Kyrgyzstan,Confucius Institute at Kyrgyz National University,kyrgyz national university,Closed
253,Kyrgyzstan,Kyrgyz-Chinese Faculty at Osh State University,osh state university,Closed
254,Kyrgyzstan,Confucius Institute at Jalal-Abad State University,jalal-abad state university,Open
255,Laos,Confucius Institute at National University of Laos,national university of laos,Closed
256,Laos,Confucius Institute at Souphanouvong University,souphanouvong university,Closed
257,Latvia,Confucius Institute at University of Latvia,university of latvia,Closed
258,Lebanon,Confucius Institute at Saint-Joseph University,saint-joseph university,Closed
259,Liberia,Confucius Institute at the University of Liberia,the university of liberia,Closed
260,Lithuania,Confucius Institute at Vilnius University,vilnius university,Closed
