destination_area,2000,2005,2010,2015,2020,2000males,2005males,2010males,2015males,2020males,2000females,2005females,2010females,2015females,2020females,growth,average,country_id
Sint Maarten,0,83,167,174,183,0,44,88,91,97,0,39,79,83,86,,121.4,64
Slovakia,681,764,856,1074,1256,325,371,421,576,673,356,393,435,498,583,3.1296551353191067,926.2,176
Slovenia,201,323,732,863,1113,122,177,420,469,594,79,146,312,394,519,8.81156250858742,646.4,177
Solomon Islands,228,213,211,197,192,126,119,119,111,109,102,94,92,86,83,-0.8435779016495122,208.2,223
South Africa,10520,13839,11694,9519,8857,5987,7614,6064,5513,5448,4533,6225,5630,4006,3409,-1.4366821858777215,10885.8,111
Spain,2138,81322,154918,155713,179104,1152,42538,76977,71920,80616,986,38784,77941,83793,98488,19.011579293623523,114639.0,248
Sri Lanka,588,1153,2312,2447,2481,534,1011,2035,2147,2181,54,142,277,300,300,7.263751229519923,1796.2,204
Sudan,1746,1890,1215,1111,1536,901,976,627,574,782,845,914,588,537,754,-1.5752159275958348,1499.6,150
Suriname,3135,3836,4526,4915,5446,1697,2090,2468,2683,2993,1438,1746,2058,2232,2453,2.7047320738226155,4371.6,65
Sweden,8711,13717,21706,28014,34767,3557,4927,8294,11084,14112,5154,8790,13412,16930,20655,6.964465156175599,21383.0,181
Switzerland,11538,13467,15226,20556,25088,5167,5675,5883,8369,10304,6371,7792,9343,12187,14784,3.9527960746573534,17175.0,159
Tajikistan,52,50,49,48,46,32,31,31,31,31,20,19,18,17,15,-0.5720532774098395,49.0,205
Thailand,200,33311,68811,73828,77280,124,21444,44547,47704,49899,76,11867,24264,26124,27381,25.41919319070419,50686.0,231
Timor-Leste,1104,1172,1196,953,938,690,781,851,674,664,414,391,345,279,274,-1.0654852442887748,1072.6,217
Togo,313,352,459,517,521,253,285,374,422,427,60,67,85,95,94,2.8070108026735205,432.4,136
Tonga,115,134,143,122,114,72,85,91,78,74,43,49,52,44,40,-0.2225722303103268,125.6,9
Trinidad and Tobago,461,494,836,866,961,240,257,457,480,596,221,237,379,386,365,4.0610042466436,723.6,66
Turkey,1688,1758,1793,1785,2491,836,852,846,822,1048,852,906,947,963,1443,1.5870425923623463,1903.0,152
Uganda,374,362,364,366,341,240,231,231,231,215,134,131,133,135,126,-0.34751503737287237,361.4,153
Ukraine,7502,6854,6539,6560,6668,4795,4384,4186,4203,4273,2707,2470,2353,2357,2395,-0.559082388077428,6824.6,191
United Kingdom,218791,234014,247071,309391,332351,107992,115572,124580,141482,155976,110799,118442,122491,167909,176375,2.230748625509623,268323.6,90
United States,1564102,1832810,2164790,2938178,2432959,772338,910013,1059730,1426899,1177877,791764,922797,1105060,1511279,1255082,2.711064124739636,2186567.8,155
Venezuela,10478,11793,13411,14438,13610,5769,6695,7841,8356,7787,4709,5098,5570,6082,5823,1.450822951927659,12746.0,69
Vietnam,2573,2661,2440,3005,3167,1481,1604,1427,1753,1848,1092,1057,1013,1252,1319,1.0740000890108146,2769.2,232
Zambia,166,408,1007,887,1241,120,295,701,617,874,46,113,306,270,367,9.59989560320309,741.8,114
